export_name,full_local_path,sample_output_path,rows,sample_rows,grain,activation_owner
activation_churn_campaign.csv,data/exports/activation_churn_campaign.csv,outputs/activation_churn_campaign.csv,185633,250,customer,Lifecycle Marketing
activation_winback_campaign.csv,data/exports/activation_winback_campaign.csv,outputs/activation_winback_campaign.csv,192024,250,customer,Lifecycle Marketing
activation_high_clv_customers.csv,data/exports/activation_high_clv_customers.csv,outputs/activation_high_clv_customers.csv,50000,250,customer,Lifecycle Marketing
activation_cross_sell_targets.csv,data/exports/activation_cross_sell_targets.csv,outputs/activation_cross_sell_targets.csv,250000,250,customer,Lifecycle Marketing
activation_loyalty_upgrade_targets.csv,data/exports/activation_loyalty_upgrade_targets.csv,outputs/activation_loyalty_upgrade_targets.csv,40494,250,customer,Lifecycle Marketing
activation_discount_sensitive_customers.csv,data/exports/activation_discount_sensitive_customers.csv,outputs/activation_discount_sensitive_customers.csv,12666,250,customer,Lifecycle Marketing
